sentence,compound,positive,negative,neutral,label,title
"""No, no,"" he said; ""you must not walk here; the dogs are too fierce""; and then he added, with what he evidently meant for grim pleasantry--for he looked round to catch the approving smile of the rest--""and you may have enough of such matters before you go to sleep.""",-0.2732,0.068,0.069,0.863,negative,Dracula
The only stop he would make was a moment's pause to light his lamps.,-0.296,0.0,0.155,0.845,negative,Dracula
"When it grew dark there seemed to be some excitement amongst the passengers, and they kept speaking to him, one after the other, as though urging him to further speed.",0.4939,0.099,0.0,0.901,positive,Dracula
"He lashed the horses unmercifully with his long whip, and with wild cries of encouragement urged them on to further exertions.",0.0258,0.114,0.11,0.776,neutral,Dracula
"Then through the darkness I could see a sort of patch of grey light ahead of us, as though there were a cleft in the hills.",-0.2023,0.05,0.083,0.868,negative,Dracula
"The excitement of the passengers grew greater; the crazy coach rocked on its great leather springs, and swayed like a boat tossed on a stormy sea.",0.872,0.365,0.071,0.564,positive,Dracula
I had to hold on.,0.0,0.0,0.0,1.0,neutral,Dracula
"The road grew more level, and we appeared to fly along.",0.0,0.0,0.0,1.0,neutral,Dracula
Then the mountains seemed to come nearer to us on each side and to frown down upon us; we were entering on the Borgo Pass.,0.0,0.0,0.0,1.0,neutral,Dracula
"One by one several of the passengers offered me gifts, which they pressed upon me with an earnestness which would take no denial; these were certainly of an odd and varied kind, but each was given in simple good faith, with a kindly word, and a blessing, and that strange mixture of fear-meaning movements which I had seen outside the hotel at Bistritz--the sign of the cross and the guard against the evil eye.",0.8591,0.217,0.125,0.659,positive,Dracula
"Then, as we flew along, the driver leaned forward, and on each side the passengers, craning over the edge of the coach, peered eagerly into the darkness.",0.1531,0.088,0.068,0.845,positive,Dracula
"It was evident that something very exciting was either happening or expected, but though I asked each passenger, no one would give me the slightest explanation.",-0.1415,0.08,0.1,0.82,negative,Dracula
This state of excitement kept on for some little time; and at last we saw before us the Pass opening out on the eastern side.,0.4939,0.118,0.0,0.882,positive,Dracula
"There were dark, rolling clouds overhead, and in the air the heavy, oppressive sense of thunder.",-0.4019,0.0,0.153,0.847,negative,Dracula
"It seemed as though the mountain range had separated two atmospheres, and that now we had got into the thunderous one.",0.0,0.0,0.0,1.0,neutral,Dracula
I was now myself looking out for the conveyance which was to take me to the Count.,0.0,0.0,0.0,1.0,neutral,Dracula
Each moment I expected to see the glare of lamps through the blackness; but all was dark.,0.0,0.0,0.0,1.0,neutral,Dracula
"The only light was the flickering rays of our own lamps, in which the steam from our hard-driven horses rose in a white cloud.",0.0,0.0,0.0,1.0,neutral,Dracula
"We could see now the sandy road lying white before us, but there was on it no sign of a vehicle.",-0.6124,0.0,0.217,0.783,negative,Dracula
"The passengers drew back with a sigh of gladness, which seemed to mock my own disappointment.",-0.7184,0.057,0.318,0.625,negative,Dracula
"I was already thinking what I had best do, when the driver, looking at his watch, said to the others something which I could hardly hear, it was spoken so quietly and in so low a tone; I thought it was ""An hour less than the time.""",0.3525,0.089,0.058,0.852,positive,Dracula
"Then turning to me, he said in German worse than my own:-- ""There is no carriage here.",-0.6486,0.0,0.261,0.739,negative,Dracula
The Herr is not expected after all.,0.0,0.0,0.0,1.0,neutral,Dracula
"He will now come on to Bukovina, and return to-morrow or the next day; better the next day.""",0.4404,0.146,0.0,0.854,positive,Dracula
"Whilst he was speaking the horses began to neigh and snort and plunge wildly, so that the driver had to hold them up.",0.0,0.0,0.0,1.0,neutral,Dracula
"Then, amongst a chorus of screams from the peasants and a universal crossing of themselves, a calèche, with four horses, drove up behind us, overtook us, and drew up beside the coach.",-0.296,0.0,0.073,0.927,negative,Dracula
"I could see from the flash of our lamps, as the rays fell on them, that the horses were coal-black and splendid animals.",0.5859,0.153,0.0,0.847,positive,Dracula
"They were driven by a tall man, with a long brown beard and a great black hat, which seemed to hide his face from us.",0.5267,0.159,0.066,0.775,positive,Dracula
"I could only see the gleam of a pair of very bright eyes, which seemed red in the lamplight, as he turned to us.",0.4927,0.132,0.0,0.868,positive,Dracula
"He said to the driver:-- ""You are early to-night, my friend.""",0.0,0.0,0.0,1.0,neutral,Dracula
