sentence,compound,positive,negative,neutral,label,title
THE SHADOW.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
NOON-TIDE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXXI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE GREETING.,0.3818,0.722,0.0,0.278,positive,Thus Spake Zarathustra: A Book for All and None
LXXII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE SUPPER.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXXIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE HIGHER MAN.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXXIV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE SONG OF MELANCHOLY.,-0.4404,0.0,0.492,0.508,negative,Thus Spake Zarathustra: A Book for All and None
LXXV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
SCIENCE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXXVI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
AMONG DAUGHTERS OF THE DESERT.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXXVII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE AWAKENING.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXXVIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE ASS-FESTIVAL.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXXIX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE DRUNKEN SONG.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LXXX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE SIGN.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
APPENDIX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
"NOTES ON ""THUS SPAKE ZARATHUSTRA"" BY ANTHONY M. LUDOVICI.",0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
PART I.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE PROLOGUE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter I.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Three Metamorphoses.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter II.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Academic Chairs of Virtue.,0.4215,0.412,0.0,0.588,positive,Thus Spake Zarathustra: A Book for All and None
